"","age","sex","educ2","outcome","educ"
"383",33,1,6,"A","2"
"384",78,2,5,"B","2"
"385",30,2,3,"E","1"
"386",25,1,4,"E","2"
"387",50,2,6,"E","2"
"388",38,2,8,"A","3"
"389",55,2,3,"A","1"
"390",63,2,5,"A","2"
"391",45,1,3,"B","1"
"392",36,1,8,"E","3"
"393",33,1,8,"A","3"
"394",64,1,6,"C","2"
"395",27,1,8,"E","3"
"396",22,2,6,"E","2"
"397",45,1,5,"E","2"
"398",38,1,3,"A","1"
"399",19,1,3,"A","1"
"400",38,1,5,"E","2"
"401",66,1,3,"B","1"
"402",71,2,6,"A","2"
"403",53,2,8,"A","3"
"404",35,2,5,"B","2"
"405",38,1,6,"A","2"
"406",53,2,5,"B","2"
"407",32,1,6,"C","2"
"408",37,1,6,"B","2"
"409",22,2,4,"E","2"
"410",30,1,3,"A","1"
"411",54,1,3,"A","1"
"412",35,2,5,"A","2"
"413",65,2,8,"B","3"
"414",64,1,6,"A","2"
"415",34,2,5,"A","2"
"416",26,2,6,"E","2"
"417",36,1,8,"A","3"
"418",23,1,3,"E","1"
"419",45,1,6,"E","2"
"420",47,2,3,"E","1"
"421",41,1,6,"E","2"
"422",46,2,3,"E","1"
"423",52,1,8,"B","3"
"424",29,2,4,"B","2"
"425",65,2,4,"A","2"
"426",48,1,4,"E","2"
"427",56,1,4,"B","2"
"428",49,2,2,"C","1"
"429",52,1,8,"A","3"
"430",54,1,3,"B","1"
"431",26,1,8,"B","3"
"432",42,2,3,"C","1"
"433",33,1,2,"A","1"
"434",59,1,2,"A","1"
"435",24,2,3,"A","1"
"436",28,2,8,"E","3"
"437",63,1,4,"B","2"
"438",50,2,3,"D","1"
"439",22,2,5,"E","2"
"440",69,2,5,"B","2"
"441",32,2,6,"E","2"
"442",52,1,3,"D","1"
"443",77,1,6,"A","2"
"444",40,2,4,"E","2"
"445",18,2,4,"A","2"
"446",58,1,5,"B","2"
"447",52,1,6,"E","2"
"448",27,2,4,"A","2"
"449",30,1,8,"E","3"
"450",71,1,6,"A","2"
"451",41,1,3,"A","1"
"452",47,2,6,"C","2"
"453",54,2,8,"C","3"
"454",65,2,5,"A","2"
"455",50,1,3,"E","1"
"456",60,1,4,"E","2"
"457",66,1,5,"A","2"
"458",27,1,6,"A","2"
"459",25,1,6,"E","2"
"460",55,1,4,"A","2"
"461",65,2,4,"A","2"
"462",36,2,8,"E","3"
"463",19,1,3,"A","1"
"464",43,1,5,"B","2"
"465",63,2,3,"A","1"
"466",22,2,3,"E","1"
"467",47,1,8,"D","3"
"468",50,1,4,"E","2"
"469",41,1,5,"E","2"
"470",42,1,4,"A","2"
"471",45,2,8,"B","3"
"472",39,2,3,"D","1"
"473",39,1,3,"B","1"
"474",79,2,8,"B","3"
"475",38,1,6,"A","2"
"476",54,1,8,"B","3"
"477",22,1,6,"A","2"
"478",99,2,6,"D","2"
"479",64,1,6,"D","2"
"480",29,1,6,"E","2"
"481",39,1,3,"E","1"
"482",19,1,2,"E","1"
"483",63,2,3,"A","1"
"484",25,2,5,"E","2"
"485",33,2,5,"E","2"
"486",23,1,5,"A","2"
"487",38,1,7,"A","3"
"488",20,2,3,"E","1"
"489",67,2,4,"D","2"
"490",20,2,5,"B","2"
"491",35,1,8,"C","3"
"492",46,1,2,"A","1"
"493",18,2,2,"E","1"
"494",27,2,4,"E","2"
"495",66,1,3,"A","1"
"496",19,1,4,"D","2"
"497",58,1,5,"E","2"
"498",52,1,5,"A","2"
"499",26,1,4,"E","2"
"500",41,1,4,"E","2"
"501",21,1,3,"E","1"
"502",34,2,2,"B","1"
"503",18,2,2,"B","1"
"504",20,2,4,"E","2"
"505",53,1,3,"B","1"
"506",45,2,6,"E","2"
"507",28,1,4,"E","2"
"508",67,2,3,"B","1"
"509",18,1,3,"A","1"
"510",41,2,8,"C","3"
"511",42,1,6,"E","2"
"512",65,1,5,"A","2"
"513",40,2,3,"B","1"
"514",61,2,8,"A","3"
"515",74,2,7,"E","3"
"516",24,1,4,"B","2"
"517",26,1,8,"A","3"
"518",51,1,7,"E","3"
"519",41,2,4,"A","2"
"520",26,1,3,"D","1"
"521",47,2,4,"B","2"
"522",22,2,3,"E","1"
"523",58,1,3,"E","1"
"524",66,2,4,"A","2"
"525",44,1,6,"A","2"
"526",34,1,8,"D","3"
"527",24,1,6,"E","2"
"528",50,2,4,"E","2"
"529",73,2,6,"E","2"
"530",65,2,2,"B","1"
"531",75,2,4,"A","2"
"532",57,2,6,"E","2"
"533",22,2,6,"D","2"
"534",68,2,5,"A","2"
"535",21,1,3,"E","1"
"536",42,1,8,"E","3"
"537",19,2,3,"A","1"
"538",54,2,4,"E","2"
"539",29,1,3,"E","1"
"540",41,1,3,"B","1"
"541",57,1,7,"C","3"
"542",40,1,5,"C","2"
"543",99,2,8,"B","3"
"544",46,1,3,"A","1"
"545",99,2,3,"A","1"
"546",44,2,4,"E","2"
"547",54,2,8,"E","3"
"548",62,2,4,"B","2"
