psraid,sample,int_date,fips,state,cregion,density,usr,vote01,pial1a,pial1b,pial1c,pial1d,pial1e,pial2a,pial2b,pial2c,pial2d,pial2e,pial3,ql1,ql1a,qc1,hh1,employ,par,sex,age,educ2,hisp,race,inc,reg,party,partyln,ideo,zipcode,iphoneuse,hphoneuse,weight,standwt
100405,1,110112,31027,31,2,1,R,1,2,2,2,2,2,4,4,4,4,3,2,1, , ,2,3,1,2,41,5,2,1,4,1,1, , ,68745,2,2,3.7,.94909104748373
100413,1,110112,29189,29,2,4,S,3,2,2,2,2,2,2,4,4,4,4,2,1, , ,3,1,1,2,29,6,2,1,99,1,3,9, ,63044,2,2,5.15,1.32103213365979
100415,1,110112,29047,29,2,3,U,1,1,2,2,1,1,1,4,4,4,1,1,1, , ,2,2,2,2,19,3,2,1,4,1,2, , ,64157,2,2,3.2,.82083550052647
100422,1,110112,40145,40,3,2,S,1,2,2,2,2,2,4,4,4,4,4,1,1, , ,1,3,2,1,81,3,2,1,2,1,1, , ,74014,2,2,1.6,.410417750263235
100428,1,110112,6037,6,4,5,S,1,1,2,2,2,1,1,4,1,4,3,1,1, , ,2,1,1,1,42,3,2,1,9,1,2, , ,90278,2,2,4.35,1.11582325852817
100433,1,110112,41051,41,4,4,U,1,2,2,2,2,2,4,4,4,4,4,3,1, , ,1,3,2,1,88,7,2,1,99,1,3,1, ,97202,2,2,1.3,.333464422088878
100437,1,110112,53027,53,4,1,R,1,1,2,1,2,1,1,4,1,4,1,1,1, , ,4,1,2,2,49,3,2,1,7,1,2, , ,98563,2,2,4.25,1.09017214913672
100444,1,110112,41039,41,4,1,S,1,1,1,2,2,2,4,2,4,4,4,1,2,2, ,1,3,2,1,71,3,2,1,2,1,1, , ,97412,1,1,1.6,.410417750263235
100445,1,110112,53067,53,4,3,S,1,2,2,2,2,2,2,2,4,4,3,2,1, , ,2,3,1,2,30,8,2,1,8,3,3,1, ,98503,2,2,3,.769533281743565
100452,1,110112,6051,6,4,1,R,2,2,2,2,2,2,4,4,4,4,4,8,2,2, ,1,3,2,2,90,8,2,1,5,1,2, , ,93546,1,1,1,.256511093914522
100454,1,110312,6037,6,4,5,S,1,2,1,2,2,2,4,4,4,4,4,2,2,2, ,1,3,2,1,71,6,2,1,5,1,1, ,2,90278,1,1,1.4,.35911553148033
100455,1,110112,6107,6,4,1,U,1,2,2,2,2,2,4,4,4,4,4,2,2,1, ,2,3,2,1,81,3,2,1,3,1,3,1, ,93257,1,2,4.9,1.25690436018116
100461,1,110312,48313,48,3,1,R,1,1,2,2,2,2,4,4,4,4,4,2,1, , ,3,1,2,2,47,3,2,2,6,1,2, ,3,77864,2,2,3.85,.987567711570908
100463,1,110112,35043,35,4,1,U,1,1,2,1,1,2,2,2,4,2,2,2,1, , ,2,3,2,1,53,6,2,1,4,1,3,1, ,87048,2,2,1.75,.448894414350413
100469,1,110112,17123,17,2,1,S,1,2,2,2,2,2,4,4,4,4,4,2,1, , ,1,3,2,2,80,3,2,1,99,9,9,9, ,61369,2,2,1,.256511093914522
100473,1,110112,30111,30,4,1,U,1,2,2,2,2,2,4,4,4,4,4,2,2,2, ,1,3,2,2,82,4,2,1,3,1,1, , ,59102,1,1,1,.256511093914522
100474,1,110112,30071,30,4,1,R,1,2,2,2,2,2,4,4,4,4,2,2,1, , ,2,3,1,2,35,4,2,1,3,1,1, , ,59544,2,2,3.4,.872137719309374
100478,1,110112,8059,8,4,3,S,1,1,1,2,2,2,1,1,4,4,4,2,1, , ,1,3,2,2,66,8,2,1,3,3,1, , ,80215,2,2,1,.256511093914522
